cumTime	delTime	event	pitch	vel	chan	value
cumTime	delTime	event	pitch	vel	chan	value
cumTime	delTime	event	pitch	vel	chan	value
25038	120	noff	80	0	0	na
25038	0	non	76	113	0	na
25158	120	noff	76	0	0	na
25158	0	non	78	113	0	na
25278	120	noff	78	0	0	na
25278	0	non	73	110	0	na
25398	120	noff	73	0	0	na
25398	0	non	76	108	0	na
25518	120	noff	76	0	0	na
25518	0	non	71	105	0	na
25758	240	noff	71	0	0	na
25758	0	non	73	106	0	na
25998	240	noff	73	0	0	na
25998	0	non	76	107	0	na
26238	240	noff	76	0	0	na
26238	0	non	78	109	0	na
26598	360	noff	78	0	0	na
26598	0	non	73	102	0	na
26838	240	noff	73	0	0	na
26838	0	non	73	106	0	na
26958	120	noff	73	0	0	na
26958	0	non	76	108	0	na
27198	240	noff	76	0	0	na
27198	0	non	78	112	0	na
27438	240	noff	78	0	0	na
27438	0	non	71	105	0	na
27678	240	noff	71	0	0	na
27678	0	non	69	102	0	na
27918	240	noff	69	0	0	na
27918	0	non	68	99	0	na
28158	240	noff	68	0	0	na
28158	0	non	76	100	0	na
28338	180	noff	76	0	0	na
28338	0	non	76	88	0	na
28398	60	noff	76	0	0	na
28398	0	non	78	107	0	na
28638	240	noff	78	0	0	na
28638	0	non	73	104	0	na
28878	240	noff	73	0	0	na
28878	0	non	71	101	0	na
29118	240	noff	71	0	0	na
29118	0	non	69	98	0	na
29358	240	noff	69	0	0	na
29358	0	non	68	100	0	na
29598	240	noff	68	0	0	na
29598	0	non	69	102	0	na
29838	240	noff	69	0	0	na
29838	0	non	68	97	0	na
30078	240	noff	68	0	0	na
30078	0	non	66	91	0	na
30258	180	noff	66	0	0	na
30258	0	non	71	84	0	na
30318	60	noff	71	0	0	na
30318	0	non	73	106	0	na
30558	240	noff	73	0	0	na
30558	0	non	69	100	0	na
30798	240	noff	69	0	0	na
30798	0	non	68	99	0	na
31038	240	noff	68	0	0	na
31038	0	non	66	98	0	na
31158	120	noff	66	0	0	na
31158	0	non	73	95	0	na
31278	120	noff	73	0	0	na
31278	0	non	76	99	0	na
31398	120	noff	76	0	0	na
31398	0	non	71	106	0	na
31518	120	noff	71	0	0	na
31518	0	non	69	105	0	na
31758	240	noff	69	0	0	na
31758	0	non	68	104	0	na
31998	240	noff	68	0	0	na
31998	0	non	66	96	0	na
32238	240	noff	66	0	0	na
32238	0	non	61	94	0	na
32478	240	noff	61	0	0	na
32478	0	non	66	103	0	na
32478	0	non	78	100	0	na
32958	480	noff	66	0	0	na
32958	0	noff	78	0	0	na
32958	0	non	68	100	0	na
32958	0	non	80	100	0	na
33438	480	noff	68	0	0	na
33438	0	noff	80	0	0	na
33438	0	non	70	100	0	na
34878	1440	noff	70	0	0	na
34878	0	non	68	98	0	na
35118	240	noff	68	0	0	na
35118	0	non	66	94	0	na
35358	240	noff	66	0	0	na
35358	0	non	65	92	0	na
35718	360	noff	65	0	0	na
35718	0	non	66	100	0	na
36078	360	noff	66	0	0	na
36078	0	non	75	104	0	na
36318	240	noff	75	0	0	na
36318	0	non	70	105	0	na
36798	480	noff	70	0	0	na
36798	0	non	63	90	0	na
37038	240	noff	63	0	0	na
37038	0	non	65	95	0	na
37278	240	noff	65	0	0	na
37278	0	non	66	100	0	na
37518	240	noff	66	0	0	na
37518	0	non	68	100	0	na
37638	120	noff	68	0	0	na
37638	0	non	66	104	0	na
37878	240	noff	66	0	0	na
37878	0	non	66	101	0	na
37998	120	noff	66	0	0	na
37998	0	non	65	100	0	na
38238	240	noff	65	0	0	na
38238	0	non	61	95	0	na
38478	240	noff	61	0	0	na
38478	0	non	58	87	0	na
38718	240	noff	58	0	0	na
38718	0	non	61	84	0	na
38838	120	noff	61	0	0	na
38838	0	non	63	100	0	na
39438	600	noff	63	0	0	na
39438	0	non	65	95	0	na
39678	240	noff	65	0	0	na
39678	0	non	66	98	0	na
39918	240	noff	66	0	0	na
39918	0	non	73	106	0	na
40158	240	noff	73	0	0	na
40158	0	non	70	102	0	na
40638	480	noff	70	0	0	na
40638	0	non	66	89	0	na
40878	240	noff	66	0	0	na
40878	0	non	68	94	0	na
41118	240	noff	68	0	0	na
41118	0	non	70	99	0	na
42318	1200	noff	70	0	0	na
42318	0	non	70	95	0	na
42558	240	noff	70	0	0	na
42558	0	non	75	98	0	na
42798	240	noff	75	0	0	na
42798	0	non	77	104	0	na
43038	240	noff	77	0	0	na
43038	0	non	78	110	0	na
43398	360	noff	78	0	0	na
43398	0	non	77	107	0	na
43758	360	noff	77	0	0	na
43758	0	non	73	100	0	na
43998	240	noff	73	0	0	na
43998	0	non	75	106	0	na
44478	480	noff	75	0	0	na
44478	0	non	75	105	0	na
44718	240	noff	75	0	0	na
44718	0	non	77	109	0	na
44958	240	noff	77	0	0	na
44958	0	non	78	114	0	na
45198	240	noff	78	0	0	na
45198	0	non	80	111	0	na
45318	120	noff	80	0	0	na
45318	0	non	78	114	0	na
45558	240	noff	78	0	0	na
45558	0	non	77	111	0	na
45678	120	noff	77	0	0	na
45678	0	non	75	111	0	na
45918	240	noff	75	0	0	na
45918	0	non	70	104	0	na
46158	240	noff	70	0	0	na
46158	0	non	68	94	0	na
46398	240	noff	68	0	0	na
46398	0	non	73	98	0	na
46638	240	noff	73	0	0	na
46638	0	non	75	102	0	na
47238	600	non	80	107	0	na
47598	360	noff	80	0	0	na
47598	0	non	78	104	0	na
47838	240	noff	75	0	0	na
47838	0	noff	78	0	0	na
47838	0	non	78	101	0	na
48078	240	noff	78	0	0	na
48078	0	non	75	92	0	na
48198	120	noff	75	0	0	na
48198	0	non	77	96	0	na
48438	240	noff	77	0	0	na
48438	0	non	78	103	0	na
48558	120	noff	78	0	0	na
48558	0	non	77	100	0	na
48798	240	noff	77	0	0	na
48798	0	non	75	88	0	na
48918	120	noff	75	0	0	na
48918	0	non	80	103	0	na
49158	240	noff	80	0	0	na
49158	0	non	82	109	0	na
49278	120	noff	82	0	0	na
49278	0	non	75	94	0	na
49398	120	noff	75	0	0	na
49398	0	non	78	108	0	na
49518	120	noff	78	0	0	na
49518	0	non	77	104	0	na
49638	120	noff	77	0	0	na
49638	0	non	73	98	0	na
49758	120	noff	73	0	0	na
49758	0	non	70	90	0	na
50118	360	noff	70	0	0	na
50118	0	non	70	89	0	na
50358	240	noff	70	0	0	na
50358	0	non	75	91	0	na
50478	120	noff	75	0	0	na
50478	0	non	68	88	0	na
50718	240	noff	68	0	0	na
50718	0	non	66	88	0	na
50838	120	noff	66	0	0	na
50958	120	non	75	94	0	na
51078	120	noff	75	0	0	na
51078	0	non	66	88	0	na
51198	120	noff	66	0	0	na
51198	0	non	65	91	0	na
51318	120	noff	65	0	0	na
51438	120	non	73	98	0	na
51558	120	noff	73	0	0	na
51558	0	non	65	87	0	na
51678	120	noff	65	0	0	na
51678	0	non	66	90	0	na
51798	120	noff	66	0	0	na
51918	120	non	75	100	0	na
52158	240	noff	75	0	0	na
52158	0	non	70	84	0	na
52278	120	noff	70	0	0	na
52278	0	non	75	95	0	na
52398	120	noff	75	0	0	na
52398	0	non	77	103	0	na
52638	240	noff	77	0	0	na
52638	0	non	78	107	0	na
52878	240	noff	78	0	0	na
52878	0	non	80	111	0	na
52998	120	noff	80	0	0	na
52998	0	non	78	109	0	na
53118	120	noff	78	0	0	na
53238	120	non	78	105	0	na
53358	120	noff	78	0	0	na
53358	0	non	77	104	0	na
53598	240	noff	77	0	0	na
53598	0	non	73	99	0	na
53718	120	noff	73	0	0	na
53718	0	non	70	98	0	na
53838	120	noff	70	0	0	na
53838	0	non	68	96	0	na
53958	120	noff	68	0	0	na
53958	0	non	70	95	0	na
54078	120	noff	70	0	0	na
54078	0	non	73	92	0	na
54198	120	noff	73	0	0	na
54198	0	non	75	94	0	na
54318	120	noff	75	0	0	na
54318	0	non	78	100	0	na
54438	120	noff	78	0	0	na
54438	0	non	80	102	0	na
54558	120	noff	80	0	0	na
54558	0	non	75	100	0	na
54678	120	noff	75	0	0	na
54678	0	non	75	81	0	na
54798	120	noff	75	0	0	na
54798	0	non	82	105	0	na
54978	180	noff	82	0	0	na
55038	60	non	70	93	0	na
55158	120	noff	70	0	0	na
55158	0	non	70	81	0	na
55278	120	noff	70	0	0	na
55278	0	non	78	99	0	na
55518	240	noff	78	0	0	na
55518	0	non	66	94	0	na
55638	120	noff	66	0	0	na
55638	0	non	68	96	0	na
55758	120	noff	68	0	0	na
55758	0	non	70	99	0	na
55878	120	noff	70	0	0	na
55878	0	non	75	100	0	na
55998	120	noff	75	0	0	na
55998	0	non	70	97	0	na
56118	120	noff	70	0	0	na
56118	0	non	68	94	0	na
56238	120	noff	68	0	0	na
56238	0	non	65	83	0	na
56358	120	noff	65	0	0	na
56358	0	non	61	77	0	na
56478	120	noff	61	0	0	na
56478	0	non	75	100	0	na
56598	120	noff	75	0	0	na
56598	0	non	77	103	0	na
56718	120	noff	77	0	0	na
56838	120	non	78	102	0	na
56958	120	noff	78	0	0	na
56958	0	non	75	92	0	na
57078	120	noff	75	0	0	na
57198	120	non	77	102	0	na
57318	120	noff	77	0	0	na
57318	0	non	73	91	0	na
57438	120	noff	73	0	0	na
57438	0	non	70	89	0	na
57738	300	noff	70	0	0	na
57798	60	non	70	91	0	na
57918	120	noff	70	0	0	na
57918	0	non	70	94	0	na
58038	120	noff	70	0	0	na
58038	0	non	75	97	0	na
58158	120	noff	75	0	0	na
58158	0	non	68	88	0	na
58398	240	noff	68	0	0	na
58398	0	non	66	84	0	na
58518	120	noff	66	0	0	na
58518	0	non	66	87	0	na
58638	120	noff	66	0	0	na
58638	0	non	75	105	0	na
58758	120	noff	75	0	0	na
58758	0	non	66	97	0	na
58878	120	noff	66	0	0	na
58878	0	non	65	92	0	na
58998	120	noff	65	0	0	na
58998	0	non	70	96	0	na
59118	120	noff	70	0	0	na
59118	0	non	73	104	0	na
59238	120	non	65	88	0	na
59298	60	noff	73	0	0	na
59358	60	noff	65	0	0	na
59358	0	non	66	89	0	na
59538	180	noff	66	0	0	na
59598	60	non	75	105	0	na
59778	180	noff	75	0	0	na
59838	60	non	70	91	0	na
59958	120	noff	70	0	0	na
59958	0	non	75	97	0	na
60078	120	noff	75	0	0	na
60078	0	non	77	104	0	na
60318	240	noff	77	0	0	na
60318	0	non	78	110	0	na
60558	240	noff	78	0	0	na
60558	0	non	80	110	0	na
60678	120	noff	80	0	0	na
60678	0	non	78	109	0	na
60798	120	noff	78	0	0	na
60918	120	non	77	105	0	na
61038	120	noff	77	0	0	na
61038	0	non	73	105	0	na
61158	120	noff	73	0	0	na
61278	120	non	73	105	0	na
61398	120	noff	73	0	0	na
61398	0	non	70	104	0	na
61518	120	noff	70	0	0	na
61518	0	non	68	102	0	na
61638	120	noff	68	0	0	na
61638	0	non	70	100	0	na
61758	120	noff	70	0	0	na
61758	0	non	73	100	0	na
61878	120	noff	73	0	0	na
61878	0	non	75	102	0	na
61998	120	noff	75	0	0	na
61998	0	non	78	105	0	na
62118	120	noff	78	0	0	na
62118	0	non	73	100	0	na
62238	120	noff	73	0	0	na
62238	0	non	75	96	0	na
62238	0	non	70	100	0	na
64098	1860	noff	75	0	0	na
64098	0	noff	70	0	0	na
64398	300	non	70	85	0	na
64638	240	noff	70	0	0	na
64638	0	non	75	91	0	na
64878	240	noff	75	0	0	na
64878	0	non	70	80	0	na
65118	240	noff	70	0	0	na
65358	240	non	70	79	0	na
65598	240	noff	70	0	0	na
65598	0	non	75	89	0	na
65838	240	noff	75	0	0	na
65838	0	non	70	81	0	na
66078	240	noff	70	0	0	na
66318	240	non	70	81	0	na
66558	240	noff	70	0	0	na
66558	0	non	75	88	0	na
66798	240	noff	75	0	0	na
66798	0	non	78	89	0	na
67038	240	noff	78	0	0	na
67038	0	non	77	88	0	na
67278	240	noff	77	0	0	na
67278	0	non	73	82	0	na
67518	240	noff	73	0	0	na
67518	0	non	68	71	0	na
67758	240	noff	68	0	0	na
68238	480	non	70	72	0	na
68478	240	noff	70	0	0	na
68478	0	non	75	85	0	na
68718	240	noff	75	0	0	na
68718	0	non	70	75	0	na
68958	240	noff	70	0	0	na
69198	240	non	70	78	0	na
69438	240	noff	70	0	0	na
69438	0	non	75	87	0	na
69678	240	noff	75	0	0	na
69678	0	non	70	78	0	na
69918	240	noff	70	0	0	na
70158	240	non	70	77	0	na
70398	240	noff	70	0	0	na
70398	0	non	75	86	0	na
70638	240	noff	75	0	0	na
70638	0	non	78	94	0	na
70878	240	noff	78	0	0	na
70878	0	non	77	86	0	na
71118	240	noff	77	0	0	na
71118	0	non	78	90	0	na
71358	240	noff	78	0	0	na
71358	0	non	80	93	0	na
71598	240	noff	80	0	0	na
72078	480	non	73	74	0	na
72318	240	noff	73	0	0	na
72318	0	non	78	86	0	na
72438	120	non	61	81	0	na
72558	120	noff	78	0	0	na
72558	0	noff	61	0	0	na
72558	0	non	73	80	0	na
72678	120	non	66	85	0	na
72798	120	noff	73	0	0	na
72798	0	noff	66	0	0	na
72918	120	non	66	76	0	na
73038	120	noff	66	0	0	na
73038	0	non	73	75	0	na
73278	240	noff	73	0	0	na
73278	0	non	78	85	0	na
73518	240	noff	78	0	0	na
73518	0	non	73	77	0	na
73758	240	noff	73	0	0	na
73998	240	non	73	78	0	na
74238	240	noff	73	0	0	na
74238	0	non	78	82	0	na
74358	120	non	73	100	0	na
74478	120	noff	78	0	0	na
74478	0	noff	73	0	0	na
74478	0	non	81	89	0	na
74718	240	noff	81	0	0	na
74718	0	non	80	86	0	na
74958	240	noff	80	0	0	na
74958	0	non	76	80	0	na
75198	240	noff	76	0	0	na
75198	0	non	68	74	0	na
75438	240	noff	68	0	0	na
75438	0	non	71	87	0	na
75558	120	noff	71	0	0	na
75558	0	non	73	100	0	na
75678	120	noff	73	0	0	na
75918	240	non	73	79	0	na
76158	240	noff	73	0	0	na
